,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,WSAVED07,SPENDMOR07,HHOUSES07,NETWORTH07,Risky2007,Risky2009,Safe2007,Safe2009,RiskTol2007,RiskTol2009,RiskTolChange
12638,80,3,1,0,1,29819.336548,4,3,5,0,68349.444807,10355.976486,2000,38317.1129982,35000,0.2127659574468085,0.05405405405405406,-0.15871190339275446
12639,80,3,1,0,1,29819.336548,4,3,5,0,68556.564337,10355.976486,2000,38317.1129982,35000,0.2127659574468085,0.05405405405405406,-0.15871190339275446
12645,55,2,1,2,2,3780665.8838,2,3,1,1,37093036.577,929966.68844,0,279611.365122,1400000,0.7688356164378212,0.0,-0.7688356164378212
12646,55,2,1,2,2,3770016.1207,2,3,1,1,37165528.413,1002458.52384,0,279611.365122,1400000,0.781906300483836,0.0,-0.781906300483836
12647,55,2,1,2,2,3663518.4902,2,3,1,1,38112064.664,1948994.7746100002,0,279611.365122,1400000,0.8745353159820224,0.0,-0.8745353159820224
12648,55,2,1,2,2,3770016.1207,2,3,1,1,38826627.041,2663557.15221,0,279611.365122,1400000,0.9049964813515099,0.0,-0.9049964813515099
12649,55,2,1,2,2,3674168.2533,2,3,1,1,37272194.971,1109125.08164,0,279611.365122,1400000,0.7986577181192686,0.0,-0.7986577181192686
12650,66,4,2,0,1,57508.720486,2,3,4,1,792129.67701,1.0355976486,0,13462.769432,3000,7.691716021730216e-05,0.0,-7.691716021730216e-05
12651,66,4,2,0,1,56443.744181,2,3,4,1,1006601.95,1.0355976486,0,9423.9386022,3000,0.00010987803538142688,0.0,-0.00010987803538142688
12652,66,4,2,0,1,57508.720486,2,3,4,1,779598.94546,1.0355976486,0,18640.757675,3000,5.555246930666471e-05,0.0,-5.555246930666471e-05
12653,66,4,2,0,1,57508.720486,2,3,4,1,773385.35957,1.0355976486,0,10252.416721,3000,0.00010099989900148004,0.0,-0.00010099989900148004
12654,66,4,2,0,1,56443.744181,2,3,4,1,795236.46995,1.0355976486,0,16569.562378,3000,6.249609399261677e-05,0.0,-6.249609399261677e-05
